id,db,found_in,title,abstract,authors,year,doi,doi_normalized,source,doc_type,keywords,language
SCOPUS_933,Scopus,Scopus,Evaluating Junior Secondary Science Textbook Usage in Australian Schools,"A large body of research has drawn attention to the importance of providing engaging learning experiences in junior secondary science classes, in an attempt to attract more students into post-compulsory science courses. The reality of time and resource constraints, and the high proportion of non-specialist science teachers teaching science, has resulted in an overreliance on more transmissive pedagogical tools, such as textbooks. This study sought to evaluate the usage of junior secondary science textbooks in Australian schools. Data were collected via surveys from 486 schools teaching junior secondary (years 7–10), representing all Australian states and territories. Results indicated that most Australian schools use a science textbook in the junior secondary years, and textbooks are used in the majority of science lessons. The most highly cited reason influencing choice of textbook was layout/colour/illustrations, and electronic technologies were found to be the dominant curricula material utilised, in addition to textbooks, in junior secondary science classes. Interestingly, the majority of respondents expressed high levels of satisfaction with their textbooks, although many were keen to stress the subsidiary role of textbooks in the classroom, emphasising the textbook was ‘one’ component of their teaching repertoire. Importantly, respondents were also keen to stress the benefits of textbooks in supporting substitute teachers, beginning teachers, and non-specialist science teachers; in addition to facilitating continuity of programming and staff support in schools with high staff turnover. Implications from this study highlight the need for high quality textbooks to support teaching and learning in Australian junior secondary science classes. © 2015, Springer Science+Business Media Dordrecht.","McDonald, C.V.",2016,10.1007/s11165-015-9468-8,10.1007/s11165-015-9468-8,Research in Science Education,Article,Curricula materials; Junior secondary science; Science textbooks; Scientific literacy,English
SCOPUS_930,Scopus,Scopus,First and target language use in public language education for young learners: Longitudinal evidence from Mexican secondary-school classrooms,"Reforms in public education favour the introduction of English as a foreign language at a young age. These reforms aim to help young learners achieve a high level of communicative performance in English by the end of public education. In language classrooms, the meaning-oriented use of English in teacher discourse can potentially facilitate language production and comprehension among learners and thereby provide language acquisition opportunities. This quantitative, descriptive study examined the use of English and Spanish in teacher discourse in terms of amount and purpose in Mexican secondary-school classrooms, where learners were completing the last language learning cycle in the national curriculum. Over two months, 45 h of regular classroom instruction were video-recorded in nine schools across five geographical areas of Southeast Mexico for analysis. The results indicate that teacher L1 overreliance and a lack of communicative purpose for the use of the L2 constitute shared and systematic features of public language pedagogy for young learners in the observed classrooms. These results are congruent with those from other international contexts and raise concerns about the effectiveness of language teaching to help young learners become competent users of English through public education. © 2016 Elsevier Ltd","Izquierdo, J.; García-Martínez, V.; Garza Pulido, M.G.; Aquino-Zúñiga, S.P.",2016,10.1016/j.system.2016.07.006,10.1016/j.system.2016.07.006,System,Article,English foreign language; Foreign language pedagogy; Language policy and planning; Teacher education,English
SCOPUS_935,Scopus,Scopus,Learning language with web 2.0 is so difficult!!! hearing voices of Japanese language learners at a Korean university,"The emergence of Web 2.0 technologies has empowered language learners. Web 2.0 allows learners to practice their target language with native speakers anytime and anywhere they wish, free of charge. Given the significant impact of Web 2.0 on language learning, it is imperative to examine learners’ uses of Web 2.0 inside and outside the classroom. Such an inquiry provides insights into the pedagogical actions required to promote the adoption of Web 2.0 to enhance language learning. Therefore, this study examined the extent to which Korean learners of Japanese adopted Web 2.0 to learn Japanese in formal and informal learning contexts. It also examined the factors inhibiting their use of Web 2.0 for language learning. The results identified the following factors inhibiting the adoption of technology in class: lecturers’ overestimated learners’ computer skills, there was an overreliance by lecturers on learners’ voluntary use of Web 2.0 outside the classroom, and there was a general lack of access to computer labs during class. The findings also suggested that learners’ insufficient knowledge of websites and applications, the absence of Japanese acquaintances offline, and low confidence to interact with Japanese native speakers inhibited the Korean language learners’ interactions with Japanese speakers online beyond the classroom. © Centre for Language Studies National University of Singapore.","Nishioka, H.",2016,,,Electronic Journal of Foreign Language Teaching,Article,,English
SCOPUS_931,Scopus,Scopus,Role and genre expectations in undergraduate case analysis in Information Systems,"This study examines case analysis writing in the field of Information Systems (IS), focusing on the roles students adopt in their writing and the functions that these roles perform. Previous research on case analysis in business has found that adoption of specific roles, such as business consultant or manager, is important in case analysis writing. In this study, we investigate role expectations in IS case analysis assignments across a 4-year IS curriculum, and students' performance of roles in writing in one IS course. We examined case analysis prompts from six courses as well as an interview with an IS faculty informant to identify roles expected in case analyses across an undergraduate IS curriculum. Secondly, we examined student writing in one IS course to examine students' performance of the expected roles. Results showed that students are expected to perform a wide range of roles, and that some roles included multiple distinct functions. In addition, prompts were arranged in many assignments in ways that structured a case analysis genre. Lower-graded analyses showed an over-reliance on reporting information from the case and on displaying disciplinary knowledge. Implications for teaching and incorporation of case analysis in information systems and business administration programs are discussed. © 2016 Elsevier Ltd","Miller, R.T.; Pessoa, S.",2016,10.1016/j.esp.2016.06.003,10.1016/j.esp.2016.06.003,English for Specific Purposes,Article,Business writing; Case method; Information Systems; Roles,English
SCOPUS_936,Scopus,Scopus,Scoping the barriers to implementing policies for inclusive education in Rwanda: An occupational therapy opportunity,"Introduction: Education is a fundamental right for all children, including those with disability [UN (United Nations). 2013. General Assembly, 68th Session. The Way Forward: A Disability-Inclusive Developmental Agenda Towards 2015 and Beyond: Report of the Secretary-General (A/68/95). June 14. (Masthead). (2012 Readex microfiche).]. Rwanda has numerous policies for inclusive education but has not been successful in implementing these standards nationally. A multisectoral approach, including interdisciplinary liaisons, is cited to achieve inclusive education. Occupational therapy services recently introduced in Rwanda contribute to reducing obstacles and facilitating the transition of children with disabilities into mainstream classrooms. Overcoming the barriers to inclusive education requires first identifying them before solutions are postulated. Objectives: This research maps the literature to demystify the barriers to implementing national policies for inclusive education. Methods: A scoping approach guided by the Arksey and O'Malley [2005. ""Scoping Studies: Towards a Methodological Framework."" International Journal of Social Research Methodology 8: 19-32] five-stage methodological framework was employed. Results: Seven themes emerged that impede the adoption of inclusive education: financial constraints, physical barriers, insufficient teacher training, cultural attitudes and discrimination, over-reliance on foreign aid, inadequate policies and legislation and ignoring cultural context in policies. Future research: Using a multisectoral approach with occupational therapists, a strategic demonstration project is recommended to: (a) re-operationalise policies, (b) prepare the environment and community, (c) train teachers, and (d) evaluate outcomes. The findings have the potential to assist other regions in identifying challenges to, and adopting, inclusive education in the future. © 2015 Taylor & Francis.","Talley, L.; Brintnell, E.S.",2016,10.1080/13603116.2015.1081634,10.1080/13603116.2015.1081634,International Journal of Inclusive Education,Article,children with disabilities; inclusive education; occupational therapy; Rwanda,English
SCOPUS_927,Scopus,Scopus,Assessing sustainability curriculum: from transmissive to transformative approaches,"Purpose: This paper aims to describe a two-stage sustainability curriculum assessment, providing tools and strategies for other faculty to use in implementing their own sustainability assessments. Design/methodology/approach: In the first stage of the five-year curriculum assessment, the authors used an anonymous survey of sustainability faculty and requested data that would verify the survey’s self-reporting: updated sustainability syllabi, and answers to the question, “where have you integrated the three aspects of sustainability – biological systems, social systems, economic systems – into this course?” Finding that the self-reporting results did not match the evidence on the syllabi, the authors interrogated their methods from the faculty workshop trainings for sustainability curriculum transformation. Findings: The authors’ workshops had not provided clear definitions for “sustainability” and the learning outcomes expected in sustainability courses. They had also not addressed the role of transformative pedagogy in teaching a holistic approach to sustainability. The research identified and transcended five key barriers to implementing sustainability curriculum: an over-reliance on faculty volunteers, unclear and unenforced expectations about sustainability implementations, a failure to recognize and circumvent institutional and philosophical barriers to teaching sustainability’s interdisciplinary approach through disciplinary-based curriculum, conceiving of sustainability pedagogy as transmission rather than transformation, and overlooking the ecology of educational systems as nested within the larger sociopolitical environment. Research limitations/implications: This study confirms the limitations of faculty self-reporting unless augmented with verifiable data. Practical implications: Sustainability educators can use this research to devise curriculum or program assessment on their campuses: the mixed-methods approach to data collection, the inquiry into sustainability workshop trainings, the elements required on sustainability syllabi for building a coherent sustainability studies program, the resources for practicing a transformative sustainability pedagogy, and the barriers to sustainability implementation along with strategies for surmounting these barriers will all be of use. Originality/value: This paper explores and combats root causes for an all-too-common disconnection between positive faculty self-assessment and syllabi that do not fully integrate sustainability across the disciplines. © 2017, © Emerald Publishing Limited.","Gaard, G.C.; Blades, J.; Wright, M.",2017,10.1108/ijshe-11-2015-0186,10.1108/ijshe-11-2015-0186,International Journal of Sustainability in Higher Education,Article,Assessment; Curriculum transformation; Faculty development; Just sustainability; Sustainability pedagogy; Transdisciplinary,English
SCOPUS_921,Scopus,Scopus,Canadian psychology department participant pools: Closing for the season?,"Participant pools have long served the needs of researchers at Canadian universities seeking easy access to participants. In providing this service, participant pools overcame substantial criticism pertaining to psychology's overreliance on undergraduate students as research participants. Participant pools now face new and more challenging threats: changing student demographics, declining motivation by students to participate in research, perceiving research participation as coercive, questioning of the educational value of participation, and increasingly popular alternatives to participant pool recruitment. We argue participant pools are worth preserving for the benefit of students at all levels and because participant pools have substantial value to the research enterprise. We regard the key to preserving pools is to highlight and fortify their educational value, and we offer concrete suggestions as to how participant pools housed in Canadian psychology departments can be strengthened. © 2017 Canadian Psychological Association.","Sharpe, D.; Poets, S.",2017,10.1037/cap0000090,10.1037/cap0000090,Canadian Psychology,Review,participant pools; research ethics; student samples,English
SCOPUS_922,Scopus,Scopus,Clinical teaching and learning within a preceptorship model in an acute care hospital in Ireland; a qualitative study,"Background A preceptorship model of clinical teaching was introduced to support the new all-graduate nurse education programme in Ireland in 2002. Little is known about how this model impacts upon the pedagogical practices of the preceptor or student learning in clinical practice leading to question what constitutes effective teaching and learning in clinical practice at undergraduate level. Aim This study aimed to explore the clinical teaching and learning within a preceptorship model in an acute care hospital in Ireland and identify when best practice, based on current theoretical professional and educational principles occurred. Method A qualitative research study of a purposively selected sample of 13 students and 13 preceptors, working together in four clinical areas in one hospital in Ireland. Methods were semi-structured interviews, analysed thematically, complemented by documentary analysis relating to the teaching and assessment of the students. Ethical approval was gained from the hospital's Ethics Committee. Findings Preceptor-student contact time within an empowering student-preceptor learning relationship was the foundation of effective teaching and learning and assessment. Dialoguing and talking through practice enhanced the students’ knowledge and understanding, while the ability of the preceptor to ask higher order questions promoted the students’ clinical reasoning and problem solving skills. Insufficient time to teach, and an over reliance on students’ ability to participate in and contribute to practice with minimal guidance were found to negatively impact students’ learning. Conclusions & Implications Concepts such as cognitive apprenticeship, scaffolding and learning in communities of practice can be helpful in understanding the processes entailed in preceptorship. Preceptors need extensive educational preparation and support to ensure they have the pedagogical competencies necessary to provide the cognitive teaching techniques that foster professional performance and clinical reasoning. National competency based standards for preceptor preparation should be developed. © 2017 Elsevier Ltd","McSharry, E.; Lathlean, J.",2017,10.1016/j.nedt.2017.01.007,10.1016/j.nedt.2017.01.007,Nurse Education Today,Article,BNSc; Clinical learning; Clinical teaching; Cognitive apprenticeship; Mentor; Preceptor; Situated learning; Student nurse; Undergraduate,English
SCOPUS_924,Scopus,Scopus,Competition between phonological and semantic cues in noun class learning,"Learning noun classification systems, like gender, involves inferring a language-particular set of (often probabilistic) cues to class membership. Previous work has shown that learners rely disproportionately on phonological cues (e.g., Gagliardi & Lidz, 2014; Karmiloff-Smith, 1981). Surprisingly, this occurs even when competing semantic cues are more reliable predictors of class. We investigate two possible explanations for this: first, that phonological cues are more salient to learners than semantic cues, and second that phonological cues are generally available earlier than semantic cues. We show that adult learners’ treatment of conflicting cues to noun class in a miniature artificial language depends on both cue saliency and early availability. Importantly, learners prioritize earlier-available cues even when they are less salient than competitor cues. Our findings suggest a possible mechanism for children's over-reliance on phonology: children start building their classifications systems very early, when phonological information is available, but word meanings are not. © 2016 Elsevier Inc.","Culbertson, J.; Gagliardi, A.; Smith, K.",2017,10.1016/j.jml.2016.08.001,10.1016/j.jml.2016.08.001,Journal of Memory and Language,Article,Artificial language learning; Category learning; Cue competition; Gender; Language acquisition; Noun classification,English
WOS_168,WoS,WoS,"How Supervisor Experience Influences Trust, Supervision, and Trainee Learning: A Qualitative Study","Purpose Appropriate trust and supervision facilitate trainees' growth toward unsupervised practice. The authors investigated how supervisor experience influences trust, supervision, and subsequently trainee learning. Method In a two-phase qualitative inductive content analysis, phase one entailed reviewing 44 internal medicine resident and attending supervisor interviews from two institutions (July 2013 to September 2014) for themes on how supervisor experience influences trust and supervision. Three supervisor exemplars (early, developing, experienced) were developed and shared in phase two focus groups at a single institution, wherein 23 trainees validated the exemplars and discussed how each impacted learning (November 2015). Results Phase one: Four domains of trust and supervision varying with experience emerged: data, approach, perspective, clinical. Early supervisors were detail oriented and determined trust depending on task completion (data), were rule based (approach), drew on their experiences as trainees to guide supervision (perspective), and felt less confident clinically compared with more experienced supervisors (clinical). Experienced supervisors determined trust holistically (data), checked key aspects of patient care selectively and covertly (approach), reflected on individual experiences supervising (perspective), and felt comfortable managing clinical problems and gauging trainee abilities (clinical). Phase two: Trainees felt the exemplars reflected their experiences, described their preferences and learning needs shifting over time, and emphasized the importance of supervisor flexibility to match their learning needs. Conclusions With experience, supervisors differ in their approach to trust and supervision. Supervisors need to trust themselves before being able to trust others. Trainees perceive these differences and seek supervision approaches that align with their learning needs.","Sheu, L; Kogan, JR; Hauer, KE",2017,10.1097/acm.0000000000001560,10.1097/acm.0000000000001560,ACADEMIC MEDICINE,Article,,English
SCOPUS_914,Scopus,Scopus,Judgement of countability and plural marking in English by native and non-native English speakers,"Learning whether English nouns are countable or not is a source of great difficulty for many ESL/EFL learners. In the present study, a grammaticality judgement task comprised of a range of nouns representative of the different facets of the countability system in English was distributed to 82 native speakers of English (NSs) and 98 non-native speakers (NNSs). Participant responses provided both quantitative and qualitative data for analysis. The findings indicate that there are significant differences between the judgements made by the NSs and NNSs both quantitatively and qualitatively. It is also evident from the data that the judgements made by the NNSs reveal poor awareness of countability and plural marking in English, an over-reliance on noun countability preferences (i.e. rigidly memorising whether a particular noun is countable or uncountable), and a certain illogicality in their explanations. The article culminates with a brief discussion of some pedagogical implications in relation to countability and plural marking. © 2017 Informa UK Limited, trading as Taylor & Francis Group.","Tsang, A.",2017,10.1080/09658416.2017.1410553,10.1080/09658416.2017.1410553,Language Awareness,Article,(un)countable nouns; English grammar; Language awareness; native and non-native English speakers,English
SCOPUS_923,Scopus,Scopus,Live Lectures: The significance of presence in building disciplinary knowledge,"Radical changes in modes of pedagogy are currently being implemented in higher education internationally. Most significantly there is a rapid movement away from face-to-face, or 'live' teaching in lecture mode toward online-only resources, or to 'flipped classrooms'. The arguments mounted in support of such changes vary from economic imperatives to lifestyle preferences to pedagogic benefits. However, the research base in relation to the latter remains disturbingly thin. There is an overreliance on small-scale opinion survey data in the immediate context of changed practice and very little exploration of the nature of pedagogic practice in online modes or in the face-to-face lecturing they replace. Significantly lacking are attempts to tease apart the impact of technologies, modes of communication, pedagogic models and disciplinary knowledge structures in the building of knowledge. This study makes an initial contribution to this substantial project in an exploratory analysis of the dynamic unfolding of meaning in the spoken discourse of a face-to-face lecture in health science. The approach is trans-disciplinary, drawing both on systemic functional linguistics (SFL) and Legitimation Code Theory (LCT). Findings reveal ways in which meanings shift between the here-and-now of the shared sensible material space and elevated reflective perspectives on the field, and in doing so support the apprenticeship of students into the specialized, uncommon- sense knowledge of their field.","Hood, S.",2017,10.7764/onomazein.sfl.07,10.7764/onomazein.sfl.07,Onomazein,Article,Knowledge-building; Lectures; Legitimation Code Theory; Presence; Semantic gravity; Systemic functional linguistics,English
SCOPUS_915,Scopus,Scopus,Morphological variability in second language learners: An examination of electrophysiological and production data,"We examined sources of morphological variability in second language (L2) learners of Spanish whose native language (L1) is English, with a focus on L1-L2 similarity, morphological markedness, and knowledge type (receptive vs. expressive). Experiment 1 uses event-related potentials to examine noun-adjective number (present in L1) and gender agreement (absent in L1) in online sentence comprehension (receptive knowledge). For each feature, markedness was manipulated, such that half of the critical noun-adjective combinations were feminine (marked) and the other half were masculine half were used in the plural (marked) and the other half were used in the singular. With this setup, we examined learners' potential overreliance on unmarked forms or ""defaults"" (singular/masculine). Experiment 2 examines similar dependencies in spoken sentence production (expressive knowledge). Learners (n = 22) performed better with number than gender overall, but their brain responses to both features were qualitatively native-like (i.e., P600), even though gender was probed with nouns that do not provide strong distributional cues to gender. In addition, variability with gender agreement was better accounted for by lexical (as opposed to syntactic) aspects. Learners showed no advantage for comprehension over production, and no systematic evidence of reliance on morphological defaults, although their online processing was sensitive to markedness in a native-like manner. Overall, these results suggest that there is facilitation for L2 properties that exist in the L1 and that markedness impacts L2 processing, but in a native-like manner. These results also speak against proposals arguing that adult L2ers have deficits at the level of the morphology or the syntax. © 2017 American Psychological Association.","Alemán Bañón, J.A.; Miller, D.; Rothman, J.",2017,10.1037/xlm0000394,10.1037/xlm0000394,Journal of Experimental Psychology: Learning Memory and Cognition,Article,Event-related potentials; L2 sentence processing; Markedness; Morphological variability; Number and gender agreement,English
SCOPUS_918,Scopus,Scopus,Performance over professional learning and the complexity puzzle: lesson observation in England’s further education sector,"Attempts to measure the quality of teaching and learning have resulted in an overreliance on quantitative performance data and the normalisation of a set of reductionist practices in England’s further education sector in recent years. Focusing on lesson observation as an illustrative example and drawing on data from a national study, this article examines the application of observation and its impact on further education teachers’ practice. In viewing lesson observation through a complexity theory lens and contextualising it against the wider neoliberal backdrop of the marketisation of education, we seek to critique the inadequacies of current reductionist approaches to teacher evaluation, whilst simultaneously opening up a debate regarding the consequences of seeing classrooms as complex adaptive systems. In focusing on performative models of lesson observation in particular, the article exposes what we perceive as some of the epistemological and methodological shortcomings of neoliberalism in practice, but also offers an alternative way forward in dealing with the contested practice of evaluating the quality of teaching and learning. © 2016 International Professional Development Association (IPDA).","O'Leary, M.; Wood, P.",2017,10.1080/19415257.2016.1210665,10.1080/19415257.2016.1210665,Professional Development in Education,Article,complexity theory; Lesson observation; marketisation; neoliberalism; professional development; teacher evaluation,English
